,RMSE,MAE,R^2
0,0.329686769746809,0.0745826049484341,0.6178149855739883
1,0.2744224873821859,0.0487398223911054,0.893367022681959
2,0.275423682445389,0.0548515383998788,0.8153441676804937
3,0.2008401030405845,0.029333978910393,0.9442908366866322
4,0.2485785377493194,0.047773412053148,0.5480509592706793
5,0.2728165859754708,0.0492908207031562,0.7804081071599381
6,0.2973191702956402,0.0607330500156304,0.7094951565469476
7,0.2701712969119678,0.0592022153117512,0.7035213348886542
8,0.3737854883606618,0.0799555439918168,0.8416553513509779
9,0.5132288913270432,0.1744951132948104,0.8985108464106026
10,0.4180666103327976,0.1303210926108299,0.9130467795603907
