,Unnamed: 0.1,Unnamed: 0,y,number_of_beds,markaze_behdasht,number_of_labs,number_of_active_beds,number_of_employees,number_of_doctors,number_of_pir_doctors,number_of_stuff,number_of_persons_in_hotels,number_of_travels_bus_inside,number_of_travels_bus_outside,number_of_travels_minibus_inside,number_of_travels_minibus_outside,number_of_travels_car_inside,number_of_travels_car_outside,number_of_person_bus_inside,number_of_person_bus_outside,number_of_person_minibus_inside,number_of_person_minibus_outside,number_of_person_car_inside,number_of_person_car_outside,covid,month,season
23,23,1395_12,2210.0,2120.0,83.0,317.0,1756.0,4571.0,606.0,2376.0,1589.0,4992.0,12896.0,54862.0,6783.0,1083.0,3035.0,2288.0,214739.0,85951.0,18385.0,15369.0,3517.0,3466.0,0.0,12,4
24,24,1396_01,1828.0,2307.0,82.0,338.0,1938.0,4662.0,607.0,2544.0,1511.0,5086.0,12793.0,55910.0,10508.0,1123.0,3310.0,2532.0,228844.0,856016.0,23942.0,14291.0,3865.0,3813.0,0.0,1,1
25,25,1396_02,2565.0,2307.0,82.0,338.0,1938.0,4662.0,607.0,2544.0,1511.0,5112.0,12793.0,55910.0,10508.0,1123.0,3310.0,2532.0,228844.0,856016.0,23942.0,14291.0,3865.0,3813.0,0.0,2,1
26,26,1396_03,2347.0,2307.0,82.0,338.0,1938.0,4662.0,607.0,2544.0,1511.0,5139.0,12793.0,55910.0,10508.0,1123.0,3310.0,2532.0,228844.0,856016.0,23942.0,14291.0,3865.0,3813.0,0.0,3,1
27,27,1396_04,2727.0,2307.0,82.0,338.0,1938.0,4662.0,607.0,2544.0,1511.0,5189.0,12793.0,55910.0,10508.0,1123.0,3310.0,2532.0,228844.0,856016.0,23942.0,14291.0,3865.0,3813.0,0.0,4,2
28,28,1396_05,2945.0,2307.0,82.0,338.0,1938.0,4662.0,607.0,2544.0,1511.0,5207.0,12793.0,55910.0,10508.0,1123.0,3310.0,2532.0,228844.0,856016.0,23942.0,14291.0,3865.0,3813.0,0.0,5,2
29,29,1396_06,2781.0,2307.0,82.0,338.0,1938.0,4662.0,607.0,2544.0,1511.0,5259.0,12793.0,55910.0,10508.0,1123.0,3310.0,2532.0,228844.0,856016.0,23942.0,14291.0,3865.0,3813.0,0.0,6,2
30,30,1396_07,2532.0,2307.0,82.0,338.0,1938.0,4662.0,607.0,2544.0,1511.0,5298.0,12793.0,55910.0,10508.0,1123.0,3310.0,2532.0,228844.0,856016.0,23942.0,14291.0,3865.0,3813.0,0.0,7,3
31,31,1396_08,2532.0,2307.0,82.0,338.0,1938.0,4662.0,607.0,2544.0,1511.0,5311.0,12793.0,55910.0,10508.0,1123.0,3310.0,2532.0,228844.0,856016.0,23942.0,14291.0,3865.0,3813.0,0.0,8,3
32,32,1396_09,2556.0,2307.0,82.0,338.0,1938.0,4662.0,607.0,2544.0,1511.0,5330.0,12793.0,55910.0,10508.0,1123.0,3310.0,2532.0,228844.0,856016.0,23942.0,14291.0,3865.0,3813.0,0.0,9,3
