,RMSE,MAE,R^2
0,0.0742867,0.04565262,0.8640082063533654
1,0.08546755,0.06591566,0.825140480958013
2,0.11620304,0.08132437,0.6785437878207973
3,0.10819815,0.088731274,-0.2706919745344838
4,0.10168799,0.07332674,0.7580813366453569
5,0.06857888,0.05426664,0.5615687895250367
6,0.11791327,0.07911669,0.7379014353283593
7,0.25614986,0.19690138,0.09242025621422156
8,0.22513087,0.16519783,0.2842696442325806
