,Predict1,Real1,Predict5,Real5,Predict8,Real8
0,0.019802665969333,0.025,0.067707723529127,0.125,0.05398293516556853,0.0909090909090909
1,0.0847172483759953,0.075,0.0901072009467316,0.075,0.04551721812120522,0.0909090909090909
2,0.0863652353438994,0.075,0.1249524560960129,0.1,0.059203294808373455,0.0909090909090909
3,0.0835164497401094,0.1,0.0726194453117654,0.125,0.14850484274008127,0.0454545454545454
4,0.104986274087544,0.05,0.0584477844337109,0.1,0.09963669008690489,0.0454545454545454
5,0.1609168052435015,0.225,0.0876102635151142,0.1,0.1283669113352363,0.2272727272727272
6,0.0682133720486204,0.1,0.2002690758734844,0.2,0.19772667386962484,0.3636363636363636
7,0.1189264074872569,0.15,0.1405975881998774,0.075,0.1258307448430523,0.0909090909090909
8,0.2103160416731359,0.25,0.0752730692684612,0.125,0.4579115264471638,0.3636363636363636
9,0.3218953001210128,0.35,0.0984189974896265,0.125,1.1725467664291476,1.2727272727272727
10,0.1337592214023709,0.15,0.1175253308672201,0.125,0.07760836196115392,0.1363636363636363
11,0.278393264722374,0.225,0.0539006751290214,0.025,0.36623062722833066,0.4545454545454545
12,0.7251412868708313,1.0,0.1534406904280027,0.125,0.0763438511614168,0.0909090909090909
13,0.1514464577429006,0.175,0.105874941621024,0.2,0.2894778744755336,0.5909090909090909
14,0.1377505942820366,0.175,0.0791923870496018,0.075,0.13515022636342355,0.1818181818181818
15,0.2371943356869117,0.175,0.3891430052678452,0.5,0.2637082781009298,0.1818181818181818
16,0.2687811461950682,0.225,0.8722667540512081,1.1,0.4348377129841359,0.5454545454545454
17,0.5091563457131749,0.7,0.1385949857970353,0.125,0.1218700003253619,0.0909090909090909
18,0.0778927228491979,0.05,0.2558700414748458,0.4,0.3624067786229235,0.2727272727272727
19,0.1960730376823997,0.3,0.0891005416838674,0.075,0.04959500052749244,0.0454545454545454
20,0.400762284290644,0.3,0.1515103916001177,0.1,0.10474264472602135,0.0909090909090909
21,0.1074554130593545,0.1,0.1458137663581083,0.125,0.06279996476990075,0.0454545454545454
22,0.2015115095875815,0.1,0.0789980542452517,0.05,0.3582386645926459,0.5909090909090909
23,0.3891943793558218,0.275,0.3914441814300673,0.275,0.052001177899668814,0.0454545454545454
24,0.078342981477622,0.075,0.2400158577375161,0.3,0.08549887191410355,0.0454545454545454
25,0.1196614987572251,0.075,0.1128845648716086,0.175,0.16591995221310615,0.1818181818181818
26,0.134452120493147,0.275,0.2490984217392676,0.2,0.2427475660532014,0.5
