,Unnamed: 0.1,Unnamed: 0,y,number_of_beds,markaze_behdasht,number_of_labs,number_of_active_beds,number_of_employees,number_of_doctors,number_of_pir_doctors,number_of_stuff,number_of_persons_in_hotels,number_of_travels_bus_inside,number_of_travels_bus_outside,number_of_travels_minibus_inside,number_of_travels_minibus_outside,number_of_travels_car_inside,number_of_travels_car_outside,number_of_person_bus_inside,number_of_person_bus_outside,number_of_person_minibus_inside,number_of_person_minibus_outside,number_of_person_car_inside,number_of_person_car_outside,covid,month,season
180,84,1401_01,2319,2253.714286,85.42857143,356.5714286,1872.714286,4804.428571,662.7142857,2634.285714,1507.428571,9095,11294,47243,9487,2312,2048,4270,208977,822597,13863,6923,2227,4639,0,1,1
181,85,1401_02,2901,2253.714286,85.42857143,356.5714286,1872.714286,4804.428571,662.7142857,2634.285714,1507.428571,9110,11294,47243,9487,2312,2048,4270,208977,822597,13863,6923,2227,4639,0,2,1
182,86,1401_03,3933,2253.714286,85.42857143,356.5714286,1872.714286,4804.428571,662.7142857,2634.285714,1507.428571,9180,11294,47243,9487,2312,2048,4270,208977,822597,13863,6923,2227,4639,0,3,1
183,87,1401_04,3519,2253.714286,85.42857143,356.5714286,1872.714286,4804.428571,662.7142857,2634.285714,1507.428571,9180,11294,47243,9487,2312,2048,4270,208977,822597,13863,6923,2227,4639,0,4,2
184,88,1401_05,3583,2253.714286,85.42857143,356.5714286,1872.714286,4804.428571,662.7142857,2634.285714,1507.428571,9198,11294,47243,9487,2312,2048,4270,208977,822597,13863,6923,2227,4639,0,5,2
185,89,1401_06,3870,2253.714286,85.42857143,356.5714286,1872.714286,4804.428571,662.7142857,2634.285714,1507.428571,9198,11294,47243,9487,2312,2048,4270,208977,822597,13863,6923,2227,4639,0,6,2
186,90,1401_07,3162,2253.714286,85.42857143,356.5714286,1872.714286,4804.428571,662.7142857,2634.285714,1507.428571,9200,11294,47243,9487,2312,2048,4270,208977,822597,13863,6923,2227,4639,0,7,3
187,91,1401_08,3581,2253.714286,85.42857143,356.5714286,1872.714286,4804.428571,662.7142857,2634.285714,1507.428571,9200,11294,47243,9487,2312,2048,4270,208977,822597,13863,6923,2227,4639,0,8,3
188,92,1401_09,3570,2253.714286,85.42857143,356.5714286,1872.714286,4804.428571,662.7142857,2634.285714,1507.428571,9225,11294,47243,9487,2312,2048,4270,208977,822597,13863,6923,2227,4639,0,9,3
189,93,1401_10,3049,2253.714286,85.42857143,356.5714286,1872.714286,4804.428571,662.7142857,2634.285714,1507.428571,9225,11294,47243,9487,2312,2048,4270,208977,822597,13863,6923,2227,4639,0,10,4
190,94,1401_11,3122,2253.714286,85.42857143,356.5714286,1872.714286,4804.428571,662.7142857,2634.285714,1507.428571,9238,11294,47243,9487,2312,2048,4270,208977,822597,13863,6923,2227,4639,0,11,4
191,95,1401_12,3228,2253.714286,85.42857143,356.5714286,1872.714286,4804.428571,662.7142857,2634.285714,1507.428571,9240,11294,47243,9487,2312,2048,4270,208977,822597,13863,6923,2227,4639,0,12,4
