,RMSE,MAE,R2
0,0.1022311950791885,0.0022354351122041596,0.15982463279715378
1,0.11525830166077677,0.00263697483376857,0.12959797343676555
2,0.10832536520320313,0.00266490554199843,0.15607350266604297
3,0.11409912019840937,0.0027832302040198802,0.15257609526549684
4,0.13151354782142316,0.00372298824897375,0.17266012530111724
5,0.14009382103893922,0.00459219743993011,0.12526264325483272
6,0.15013351418694038,0.0048773131337293005,0.11040026343080392
7,0.1581110130991293,0.00595949703892255,0.12687250918231024
8,0.19074498988661878,0.007834398377203369,0.16062461406429362
9,0.20838332319966035,0.00949810774225798,0.11876564205310766
10,0.23130354663682923,0.011262662295217109,0.051960271509487455
