,RMSE,MAE,R2
0,0.10336696960885128,0.0022094530278295695,0.12159485133777156
1,0.11569657058256086,0.0026018910281803403,0.11921857779805844
2,0.1090665240007058,0.00263691298518463,0.1297020049833872
3,0.11526266602021529,0.0027733676159438503,0.12140626384261792
4,0.13363248855241186,0.0037076928912569695,0.11471165337265818
5,0.1405535183461671,0.00453310652442391,0.12413424066645296
6,0.14996537349941524,0.004776638811885751,0.1137210225752876
7,0.15807900173942663,0.00588853877337818,0.13576775994652582
8,0.19305332089577823,0.007794195366477169,0.12708742888902674
9,0.209191108553908,0.00934189261023013,0.12059757105531341
10,0.22890915638408377,0.01102962532909436,0.13887667870870074
