,RMSE,MAE,R^2
0,0.129951506199746,0.0067810879104772,0.923917464757337
1,0.1200059273301791,0.0070190150127692,0.9182823880441968
2,0.1333928965156114,0.0081756096033399,0.9667073890619784
3,0.1315861534936638,0.0079212898410544,0.9262640439716336
4,0.1569253538846393,0.0120156897834922,0.95054046186599
5,0.2286242164971553,0.0157081729756722,0.9421900064685268
6,0.2074451064805063,0.0159163255451772,0.9126340205038602
7,0.1376872935610904,0.0098139010285354,0.9538728748924818
8,0.2977735080725472,0.0355653533423836,0.970790864096289
9,0.3248633640448243,0.0523195807622613,0.8955234199977736
10,0.129951506199746,0.0067810879104772,0.923917464757337
11,0.1200059273301791,0.0070190150127692,0.9182823880441968
12,0.1333928965156114,0.0081756096033399,0.9667073890619784
13,0.1315861534936638,0.0079212898410544,0.9262640439716336
14,0.1569253538846393,0.0120156897834922,0.95054046186599
15,0.2286242164971553,0.0157081729756722,0.9421900064685268
16,0.2074451064805063,0.0159163255451772,0.9126340205038602
17,0.1376872935610904,0.0098139010285354,0.9538728748924818
18,0.2977735080725472,0.0355653533423836,0.970790864096289
19,0.3248633640448243,0.0523195807622613,0.8955234199977736
20,0.46967796253552097,0.1018866621301771,0.8928160278480803
