,RMSE,MAE,R^2
0,0.1537191095193431,0.0112503360182429,0.9071107975812152
1,0.178483833060109,0.0114433862097862,0.9276886059652706
2,0.1816605559820869,0.0131327323459095,0.9420914249094235
3,0.1367876100177268,0.0098425791151176,0.9438017065193428
4,0.1707379872214325,0.0139640414705099,0.8210120937731935
5,0.1818921834755397,0.0125296438194044,0.9693063396248444
6,0.2002601743034748,0.0195084109001261,0.9478273146418054
7,0.1840549167162115,0.0130169954883826,0.975473117423806
8,0.2116938236586212,0.0187917171521187,0.9468924802840336
9,0.2111712739230875,0.0167766519699028,0.931969659765316
10,0.1537191095193431,0.0112503360182429,0.9071107975812152
11,0.178483833060109,0.0114433862097862,0.9276886059652706
12,0.1816605559820869,0.0131327323459095,0.9420914249094235
13,0.1367876100177268,0.0098425791151176,0.9438017065193428
14,0.1707379872214325,0.0139640414705099,0.8210120937731935
15,0.1818921834755397,0.0125296438194044,0.9693063396248444
16,0.2002601743034748,0.0195084109001261,0.9478273146418054
17,0.12403216912604008,0.0074708237582041094,0.9331609163785259
