,RMSE,MAE,R^2
0,0.0269977623703464,0.0001445925599838,0.4585230445666182
1,0.0273757626271899,0.000143313428109,0.4709484065847948
2,0.0267008322572528,0.0001411828879231,0.4458474275075795
3,0.0243271362745665,0.000140500613733,0.5070557849352285
4,0.0236456590427325,0.0001393266950824,0.4837064993892835
5,0.025187724488496,0.0001420958726287,0.4804788421459064
6,0.0241437221620939,0.000137474628225,0.5445260695339564
7,0.0229156936379386,0.0001367583277873,0.6006497059948752
8,0.0267241626878548,0.0001403533944364,0.4158742804240317
9,0.028214995472328114,0.00014414380138331315,0.44981074936855847
