,RMSE,MAE,R^2
0,0.016317576,0.008522086,0.7067650576817611
1,0.040154234,0.022346001,0.6718742237008839
2,0.020100232,0.010722052,0.9222363747767008
3,0.033048928,0.023615148,0.6790096112881903
4,0.012365218,0.008131543,0.9239319173937075
5,0.032233562,0.016678102,0.935582198986612
6,0.03441507,0.019032236,0.8606118187326357
7,0.07115926,0.022776702,0.8833954154856841
8,0.07106602,0.032916434,0.8413512540947002
9,0.16179885,0.06209723,0.6733850577769533
10,0.1719173,0.06760942,0.5151164163350394
11,0.015899887,0.007985633,0.7215851135875083
12,0.022309344,0.012893962,0.8987135516484948
13,0.0245856,0.016557775,0.8836581437473271
14,0.03175616,0.02031362,0.7036307238836574
15,0.031171873,0.024576336,0.5165798690247208
16,0.046756823,0.030377606,0.8644563068315444
17,0.044257417,0.024621654,0.7694841693295424
18,0.08182181,0.021527829,0.8458331719250589
19,0.08404455,0.043456607,0.7781130359493067
20,0.22808865,0.08807397,0.3509286154121919
